Pokemon,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type1,Type2,Move 1,Move 2,Move 3,Size,Weight,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Passive 1,Passive 2,Passive 3,Passive 4,Passive 5,Passive 6,Passive 7,Proficiency 1,Proficiency 2,Proficiency 3,Proficiency 4,Proficiency 5,Proficiency 6,Proficiency 7,Proficiency 8,EggGroup1,EggGroup2,Egg Hatch Rate,Habitat 1,Habitat 2,Habitat 3,Habitat 4,Habitat 5,Diet,Rarity,Base Form,Special Form Type,Gigantamax Move,Evolves From,Legendary HP,Move 4,Move 5,Move 6,Legendary Move 1,Legendary Move 2,Legendary Move 3,Legendary Move 4,Legenadary Passive 1,Legenadary Passive 2,Legenadary Passive 3,Legendary Feature 1,Legendary Feature 2
Trumbeak,36,9,5,4,5,8,Normal,Flying,Supersonic,Roost,Bullet Seed,Medium,Medium,Flight,,,,,,,Growl,Keen Eye,Skill Link,,,,,Flying,Avian,Winged,Sound,,,,,Flying,-,7 Days,Jungle,,,,,Omnivore,Common,,,,Pikipek,,,,,,,,,,,,,
Toucannon,48,12,8,8,8,6,Normal,Flying,Drill Peck,Beak Blast,Hyper Voice,Large,Medium,Flight,,,,,,,Feather Dance,Keen Eye,Sheer Force,Skill Link,,,,Flying,Avian,Winged,Elemental Attacks F,Sound,,,Beak Blast,Flying,-,7 Days,Jungle,,,,,Omnivore,Common,,,,Trumbeak,,,,,,,,,,,,,
Porygon,42,6,7,9,8,4,Normal,,Conversion,Tackle,Psybeam,Medium,Medium,Flight,Wired,,,,,,Sharpen,Download,,,,,,Elemental Attacks,Normal Block,,,,,,"Conversion, Recover, Tri Attack",Mineral,-,10 Days,Urban Plants,,,,,Ergovore,Rare,,,,,,,,,,,,,,,,,
Porygon2,54,8,9,11,10,6,Normal,,Teleport,Signal Beam,Recover,Medium,Medium,Flight,Wired,,,,,,Agility,Sharpen,Analytic,Download,,,,Elemental Attacks,Normal Block,,,,,,"Conversion, Recover, Tri Attack",Mineral,-,10 Days,Urban Plants,,,,,Ergovore,Rare,,,,Porygon,,,,,,,,,,,,,
Porygon-Z,54,8,7,14,8,9,Normal,,Lock-On,Tri Attack,Zap Cannon,Medium,Medium,Flight,Wired,Modular 2,Intelligence,,,,Agility,Sharpen,Adaptability,Analytic,Download,,,Elemental Attacks,Normal Block,,,,,,"Conversion, Recover, Tri Attack",Mineral,-,10 Days,Urban Plants,,,,,Ergovore,Rare,,,,Porygon2,,,,,,,,,,,,,
Slakoth,36,6,6,4,4,3,Normal,,Scratch,Yawn,Encore,Medium,Medium,None,,,,,,,Truant,,,,,,,Bruiser,Elemental Attacks,,,,,,Slack Off,Field,-,7 Days,Forest,Woodlands,,,,Herbivore,Uncommon,,,,,,,,,,,,,,,,,
Vigoroth,48,8,8,6,6,9,Normal,,Slash,Chip Away,Focus Punch,Medium,Medium,None,,,,,,,Vital Spirit,,,,,,,Bruiser,Elemental Attacks,,,,,,Slack Off,Field,-,7 Days,Forest,Woodlands,,,,Herbivore,Uncommon,,,,Slakoth,,,,,,,,,,,,,
Slaking,90,16,10,10,7,10,Normal,,Slack Off,Swagger,Hammer Arm,Large,Heavy,Strength,,,,,,,Truant,,,,,,,Bruiser,Elemental Attacks,Stampeding,,,,,Slack Off,Field,-,7 Days,Forest,Woodlands,,,,Herbivore,Uncommon,,,,Vigoroth,,,,,,,,,,,,,
Starly,24,6,3,3,3,6,Normal,Flying,Quick Attack,Wing Attack,Astonish,Small,Featherweight,Flight,Guster,,,,,,Growl,Keen Eye,,,,,,Fighting,Flying,Avian,Winged,,,,,Flying,-,7 Days,Field,Forest,Mountains,Urban,,Omnivore,Common,,,,,,,,,,,,,,,,,
Staravia,36,8,5,4,4,8,Normal,Flying,Endeavor,Whirlwind,Aerial Ace,Medium,Medium,Flight,Guster,,,,,,Agility,Intimidate,Keen Eye,,,,,Fighting,Flying,Avian,Winged,,,,,Flying,-,7 Days,Field,Forest,Mountains,Urban,,Omnivore,Common,,,,Starly,,,,,,,,,,,,,
Staraptor,54,12,7,5,6,10,Normal,Flying,Air Cutter,Close Combat,Brave Bird,Large,Medium,Flight,Guster,,,,,,Agility,Intimidate,Keen Eye,Reckless,,,,Fighting,Flying,Avian,Winged,,,,,Flying,-,7 Days,Field,Forest,Mountains,Urban,,Omnivore,Common,,,,Staravia,,,,,,,,,,,,,
Whismur,36,5,2,5,2,3,Normal,,Pound,Echoed Voice,Astonish,Small,Medium,None,,,,,,,Soundproof,,,,,,,Elemental Attacks FI,Fangs,Sound,,,,,,Monster,Field,10 Days,Cave,,,,,Omnivore,Common,,,,,,,,,,,,,,,,,
Loudred,48,7,4,7,4,5,Normal,,Bite,Supersonic,Stomp,Medium,Medium,None,,,,,,,Screech,Soundproof,,,,,,Elemental Attacks FI,Fangs,Sound,,,,,,Monster,Field,10 Days,Cave,,,,,Omnivore,Common,,,,Whismur,,,,,,,,,,,,,
Exploud,60,9,6,9,7,7,Normal,,Crunch,Uproar,Hyper Voice,Large,Heavy,None,,,,,,,Screech,Scrappy,Soundproof,,,,,Elemental Attacks FI,Fangs,Sound,,,,,,Monster,Field,10 Days,Cave,,,,,Omnivore,Common,,,,Loudred,,,,,,,,,,,,,
Aipom,36,7,6,4,6,9,Normal,,Fury Swipes,Swift,Astonish,Small,Medium,Climber,,,,,,,Screech,Run Away,,,,,,Elemental Attacks E,Martial (No Kicks),,,,,,,Field,-,10 Days,Forest,Jungle,,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Ambipom,48,10,7,6,7,12,Normal,,Double Hit,Rock Throw,Pursuit,Medium,Medium,Climber,,,,,,,Agility,Screech,Skill Link,Technician,,,,Elemental Attacks E,Martial (No Kicks),,,,,,,Field,-,10 Days,Forest,Jungle,,,,Omnivore,Uncommon,,,,Aipom,,,,,,,,,,,,,
Bidoof,36,5,4,4,4,3,Normal,,Tackle,Rollout,Yawn,Small,Light,Swimmer,,,,,,,Defense Curl,,,,,,,Water,Elemental Attack EI,Fangs,,,,,Super Fang,Water 1,Field,7 Days,Rivers,,,,,Herbivore,Common,,,,,,,,,,,,,,,,,
Bibarel,48,9,6,6,6,7,Normal,Water,Water Gun,Hyper Fang,Superpower,Medium,Medium,Swimmer,Fountain,,,,,,Amnesia,Rototiller,Swords Dance,,,,,Water,Elemental Attack EI,Fangs,,,,,Super Fang,Water 1,Field,7 Days,Rivers,,,,,Herbivore,Common,,,,Bidoof,,,,,,,,,,,,,
Buneary,36,7,4,4,6,9,Normal,,Pound,Endure,Jump Kick,Small,Light,None,,,,,,,Defense Curl,Run Away,,,,,,Elemental Attack EI,Kicks,Punches,,,,,Bounce,Field,Humanshape,10 Days,Forest,Grasslands,Mountains,,,Herbivore,Uncommon,,,,,,,,,,,,,,,,,
Lopunny,42,8,8,5,10,11,Normal,,Return,Bounce,High Jump Kick,Medium,Medium,None,,,,,,,Agility,Defense Curl,Rototiller,Cute Charm,Limber,,,Elemental Attack EI,Kicks,Punches,,,,,Bounce,Field,Humanshape,10 Days,Forest,Grasslands,Mountains,,,Herbivore,Uncommon,,,,Buneary,,,,,,,,,,,,,
Mega Lopunny,42,14,9,5,10,14,Normal,,Return,Bounce,High Jump Kick,Medium,Medium,None,,,,,,,Agility,Defense Curl,Rototiller,Cute Charm,Limber,Very Limber,,Elemental Attack EI,Kicks,Punches,,,,,Bounce,Field,Humanshape,10 Days,Forest,Grasslands,Mountains,,,Herbivore,Uncommon,Lopunny,Mega,,Buneary,,,,,,,,,,,,,
Bunnelby,24,4,4,3,4,6,Normal,,Quick Attack,Mud-Slap,Laser Focus,Small,Light,Burrow,,,,,,,Agility,Leer,Cheek Pouch,,,,,Ground,Rock,,,,,,"Bounce, Super Fang",Field,-,7 Days,Field,Forest,Mountains,,,Herbivore,Common,,,,,,,,,,,,,,,,,
Diggersby,54,6,8,5,8,8,Normal,Ground,Double Kick,Dig,Hammer Arm,Medium,Medium,Burrow,,,,,,,Agility,Huge Power,Cheek Pouch,,,,,Ground,Rock,Punches,,,,,"Bounce, Super Fang",Field,-,7 Days,Field,Forest,Mountains,,,Herbivore,Common,,,,Bunnelby,,,,,,,,,,,,,
Deerling,36,6,5,4,5,8,Normal,Grass,Tackle,Double Kick,Leech Seed,Medium,Medium,Seasonal,Sprouter,,,,,,Growl,Chlorophyll,,,,,,Grass,Kicks,,,,,,"Camouflage, High Horsepower",Field,-,10 Days,Forest,Woodlands,,,,Herbivore,Uncommon,,,,,,,,,,,,,,,,,
Sawsbuck,48,10,7,6,7,10,Normal,Grass,Horn Leech,Energy Ball,Double Edge,Large,Heavy,Seasonal,Sprouter,,,,,,Growl,Chlorophyll,Sap Sipper,,,,,Grass,Kicks,,,,,,"Camouflage, High Horsepower, Horn Leech",Field,-,10 Days,Forest,Woodlands,,,,Herbivore,Uncommon,,,,Deerling,,,,,,,,,,,,,
Doduo,24,9,5,4,4,8,Normal,Flying,Peck,Quick Attack,Fury Attack,Medium,Medium,None,,,,,,,Growl,Run Away,,,,,,Flying,Avian,Kicks,,,,,,Flying,-,10 Days,Desert,Plains,Savanna,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Dodrio,36,11,7,6,6,11,Normal,Flying,Tri Attack,Pursuit,Jump Kick,Large,Heavy,None,,,,,,,Growl,Run Away,Swords Dance,Early Bird,Tangled Feet,,,Flying,Avian,Kicks,,,,,Tri Attack,Flying,-,10 Days,Desert,Plains,Savanna,,,Omnivore,Uncommon,,,,Doduo,,,,,,,,,,,,,
Glameow,30,6,4,4,4,9,Normal,,Fake Out,Hypnosis,Feint Attack,Small,Light,Stealth,,,,,,,Charm,Limber,,,,,,Blades/Claws,Elemental Attacks E,,,,,,,Field,-,10 Days,Forest,Urban,,,,Omnivore,Common,,,,,,,,,,,,,,,,,
Purugly,42,8,6,6,6,11,Normal,,Swagger,Body Slam,Play Rough,Medium,Medium,Stealth,,,,,,,Charm,Hone Claws,Defiant,Own Tempo,Thick Fat,,,Blades/Claws,Elemental Attacks E,,,,,,,Field,-,10 Days,Forest,Urban,,,,Omnivore,Common,,,,Glameow,,,,,,,,,,,,,
Hoothoot,36,3,3,4,6,5,Normal,Flying,Tackle,Peck,Hypnosis,Small,Medium,Flight,,,,,,,Growl,Keen Eye,,,,,,Flying,Psychic,Avian,Winged,,,,,Flying,-,7 Days,Forest,Woodlands,,,,Omnivore,Common,,,,,,,,,,,,,,,,,
Noctowl,60,5,5,9,10,7,Normal,Flying,Confusion,Zen Headbutt,Air Slash,Medium,Medium,Flight,Telekinetic,,,,,,Growl,Insomnia,Keen Eye,Tinted Lens,,,,Flying,Psychic,Avian,Winged,,,,Psycho Shift,Flying,-,7 Days,Forest,Woodlands,,,,Omnivore,Common,,,,Hoothoot,,,,,,,,,,,,,
Lickitung,54,6,8,6,8,3,Normal,,Lick,Supersonic,Knock Off,Medium,Medium,Reach,,,,,,,Defense Curl,Own Tempo,,,,,,Rock,Elemental Attacks,Normal Block,Weather,,,,"Power Whip, Wrap",Monster,-,10 Days,Forest,Jungle,,,,Herbivore,Rare,,,,,,,,,,,,,,,,,
Lickilicky,66,9,10,8,10,5,Normal,,Stomp,Rollout,Power Whip,Large,Heavy,Reach,Threaded,,,,,,Defense Curl,Cloud Nine,Oblivious,Own Tempo,,,,Rock,Elemental Attacks,Normal Block,Weather,,,,"Power Whip, Wrap",Monster,-,10 Days,Forest,Jungle,,,,Herbivore,Rare,,,,Lickitung,,,,,,,,,,,,,
Meowth,24,5,4,4,4,9,Normal,,Fake Out,Fury Swipes,Feint Attack,Small,Light,Stealth,,,,,,,Growl,Screech,Technician,,,,,Dark,Blades/Claws,Elemental Attacks E,,,,,,Field,-,10 Days,Forest,Urban,,,,Omnivore,Common,,,G-Max Gold Rush,,,,,,,,,,,,,,
Gigantamax Meowth,120,5,4,4,4,9,Normal,,Fake Out,Fury Swipes,Feint Attack,Large (Dynamic),Heavy (Dynamic),Stealth,,,,,,,Growl,Screech,Technician,,,,,Dark,Blades/Claws,Elemental Attacks E,,,,,,Field,-,10 Days,Forest,Urban,,,,Omnivore,Common,Meowth,Gigantamax,G-Max Gold Rush,,,,,,,,,,,,,,
Persian,42,7,6,7,7,12,Normal,,Power Gem,Slash,Night Slash,Medium,Medium,Stealth,,,,,,,Growl,Screech,Limber,Technician,Unnerve,,,Dark,Blades/Claws,Elemental Attacks E,,,,,,Field,-,10 Days,Forest,Urban,,,,Omnivore,Common,,,,Meowth,,,,,,,,,,,,,
Minccino,36,5,4,4,4,8,Normal,,Pound,Double Slap,Encore,Small,Light,None,,,,,,,Tickle,Cute Charm,,,,,,Elemental Attacks E,Sound,"Martial (Kicks, Scatter Only)",,,,,,Field,-,10 Days,Mountains,Woodlands,,,,Herbivore,Uncommon,,,,,,,,,,,,,,,,,
Cinccino,48,10,6,7,6,12,Normal,,Sing,Wake-Up Slap,Hyper Voice,Small,Light,None,,,,,,,Tickle,Cute Charm,Skill Link,Technician,,,,Elemental Attacks E,Sound,"Martial (Kicks, Scatter Only)",,,,,,Field,-,10 Days,Mountains,Woodlands,,,,Herbivore,Uncommon,,,,Minccino,,,,,,,,,,,,,
Munchlax,84,9,4,4,9,1,Normal,,Tackle,Lick,Rollout,Medium,Heavy,None,,,,,,,Amnesia,Defense Curl,Screech,Thick Fat,,,,Elemental attacks,Glutton,,,,,,Metronome,Monster,-,20 Days,Forest,Mountains,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Snorlax,96,11,7,7,11,3,Normal,,Body Slam,Rest,Snore,Large,Superweight,None,,,,,,,Amnesia,Defense Curl,Screech,Immunity,Thick Fat,,,Elemental attacks,Glutton,Stampeding,,,,,,Monster,-,20 Days,Forest,Mountains,,,,Omnivore,Rare,,,G-Max Replenish,Munchlax,,,,,,,,,,,,,
Gigantamax Snorlax,480,11,7,7,11,3,Normal,,Body Slam,Rest,Snore,Large (Dynamic),Heavy (Dynamic),None,,,,,,,Amnesia,Defense Curl,Screech,Immunity,Thick Fat,,,Elemental attacks,Glutton,Stampeding,,,,,,Monster,-,20 Days,Forest,Mountains,,,,Omnivore,Rare,Snorlax,Gigantamax,G-Max Replenish,Munchlax,,,,,,,,,,,,,
Patrat,30,6,4,4,4,4,Normal,,Tackle,Bite,Bide,Small,Light,Stealth,,,,,,,Leer,Keen Eye,,,,,,Elemental Attack EF,Fangs,,,,,,Super Fang,Field,-,7 Days,Desert,Field,Savanna,,,Herbivore,Common,,,,,,,,,,,,,,,,,
Watchog,36,9,7,6,7,8,Normal,,Crunch,Confuse Ray,Hypnosis,Medium,Medium,Glow,Stealth,,,,,,Focus Energy,Leer,Rototiller,Analytic,Keen Eye,,,Elemental Attack EF,Fangs,,,,,,Super Fang,Field,-,7 Days,Desert,Field,Savanna,,,Herbivore,Common,,,,Patrat,,,,,,,,,,,,,
Rattata,18,6,4,3,4,7,Normal,,Quick Attack,Bite,Pursuit,Small,Light,Stealth,,,,,,,Focus Energy,Tail Whip,Run Away,,,,,Dark,Elemental Attacks EI,Fangs,,,,,Super Fang,Field,-,7 Days,Field,Plains,Savanna,Urban,,Omnivore,Common,,,,,,,,,,,,,,,,,
Raticate,36,8,6,5,7,10,Normal,,Hyper Fang,Crunch,Super Fang,Medium,Medium,Stealth,Swimmer,,,,,,Focus Energy,Scary Face,Tail Whip,Guts,,,,Dark,Elemental Attacks EI,Fangs,,,,,Super Fang,Field,-,7 Days,Field,Plains,Savanna,Urban,,Omnivore,Common,,,,Rattata,,,,,,,,,,,,,
Rufflet,42,8,5,4,5,6,Normal,Flying,Fury Attack,Wing Attack,Slash,Small,Light,Flight,,,,,,,Hone Claws,Leer,Keen Eye,,,,,Fighting,Flying,Avian,Winged,,,,,Flying,-,10 Days,Forest,Wetlands,,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Braviary,60,12,8,6,8,8,Normal,Flying,Superpower,Brave Bird,Thrash,Large,Medium,Flight,Guster,,,,,,Hone Claws,Leer,Tailwind,Defiant,Keen Eye,Sheer Force,,Fighting,Flying,Avian,Winged,,,,,Flying,-,10 Days,Forest,Wetlands,,,,Omnivore,Uncommon,,,,Rufflet,,,,,,,,,,,,,
Sentret,24,5,3,4,5,2,Normal,,Quick Attack,Fury Attack,Foresight,Small,Light,None,,,,,,,Defense Curl,Run Away,,,,,,Elemental attacks,Blades/Claws,,,,,,Super Fang,Field,-,7 Days,Grasslands,Meadows,Woodlands,,,Omnivore,Common,,,,,,,,,,,,,,,,,
Furret,54,8,6,5,6,9,Normal,,Follow Me,Slam,Hyper Voice,Medium,Medium,None,,,,,,,Agility,Amnesia,Defense Curl,Keen Eye,,,,Elemental attacks,Blades/Claws,,,,,,Super Fang,Field,-,7 Days,Grasslands,Meadows,Woodlands,,,Omnivore,Common,,,,Sentret,,,,,,,,,,,,,
Skitty,30,5,5,4,4,5,Normal,,Tackle,Attract,Disarming Voice,Small,Light,None,,,,,,,Charm,Tail Whip,Cute Charm,,,,,Blades/Claws,Elemental Attacks EI,Sound,,,,,Heal Bell,Field,Fairy,7 Days,Forest,Urban,,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Delcatty,42,7,7,6,6,9,Normal,,Wake-Up Slap,Heal Bell,Play Rough,Medium,Medium,None,,,,,,,Charm,Tail Whip,Cute Charm,Normalize,Wonder Skin,,,Blades/Claws,Elemental Attacks EI,Sound,,,,,Heal Bell,Field,Fairy,7 Days,Forest,Urban,,,,Omnivore,Uncommon,,,,Skitty,,,,,,,,,,,,,
Skwovet,42,6,6,4,4,3,Normal,,Tackle,Bite,Covet,Small,Light,Climber,,,,,,,Tail Whip,Cheek Pouch,,,,,,Fangs,Glutton,,,,,,"Stuff Cheeks, Super Fang",Field,-,7 Days,Forest,Orchards,Woodlands,,,Herbivore,Common,,,,,,,,,,,,,,,,,
Greedent,72,10,10,6,8,2,Normal,,Bullet Seed,Super Fang,Rest,Medium,Light,Climber,,,,,,,Tail Whip,Cheek Pouch,,,,,,Fangs,Glutton,,,,,,"Stuff Cheeks, Super Fang",Field,-,7 Days,Forest,Orchards,Woodlands,,,Herbivore,Common,,,,Skwovet,,,,,,,,,,,,,
Spearow,24,6,3,3,3,7,Normal,Flying,Peck,Pursuit,Fury Attack,Small,Featherweight,Flight,,,,,,,Growl,Leer,Keen Eye,,,,,Flying,Avian,Winged,,,,,,Flying,-,7 Days,Badlands,Field,Mountains,,,Omnivore,Common,,,,,,,,,,,,,,,,,
Fearow,42,9,7,6,6,10,Normal,Flying,Aerial Ace,Drill Peck,Drill Run,Medium,Medium,Flight,,,,,,,Agility,Leer,Focus Energy,Keen Eye,Sniper,,,Flying,Avian,Winged,,,,,,Flying,-,7 Days,Badlands,Field,Mountains,,,Omnivore,Common,,,,Spearow,,,,,,,,,,,,,
Stufful,42,8,5,5,5,5,Normal,Fighting,Tackle,Bide,Flail,Small,Light,None,,,,,,,Leer,Cute Charm,Fluffy,,,,,Fighting,,,,,,,,Field,-,7 Days,Forest,,,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Bewear,72,13,8,6,6,6,Normal,Fighting,Bind,Thrash,Superpower,Large,Heavy,Strength,,,,,,,Leer,Cute Charm,Fluffy,Unnerve,,,,Fighting,Stampeding,,,,,,Bind,Field,-,7 Days,Forest,,,,,Omnivore,Uncommon,,,,Stufful,,,,,,,,,,,,,
Taillow,24,6,3,3,3,9,Normal,Flying,Wing Attack,Quick Attack,Double Team,Small,Featherweight,Flight,,,,,,,Focus Energy,Growl,Guts,,,,,Flying,Avian,Winged,,,,,,Flying,-,7 Days,Grasslands,Meadows,,,,Omnivore,Common,,,,,,,,,,,,,,,,,
Swellow,36,9,6,8,5,13,Normal,Flying,Air Slash,Brave Bird,Reversal,Medium,Medium,Flight,,,,,,,Agility,Focus Energy,Growl,Guts,Scrappy,,,Flying,Avian,Winged,,,,,,Flying,-,7 Days,Grasslands,Meadows,,,,Omnivore,Common,,,,Taillow,,,,,,,,,,,,,
Teddiursa,36,8,5,5,5,4,Normal,,Fury Swipes,Feint Attack,Lick,Small,Light,None,,,,,,,Baby-Doll Eyes,Quick Feet,,,,,,Fighting,,,,,,,,Field,-,10 Days,Forest,Mountains,Tundra,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Ursaring,54,13,8,8,8,6,Normal,,Slash,Thrash,Hammer Arm,Large,Heavy,Tracker,,,,,,,Baby-Doll Eyes,Scary Face,Guts,Quick Feet,Unnerve,,,Fighting,Stampeding,,,,,,,Field,-,10 Days,Forest,Mountains,Tundra,,,Omnivore,Uncommon,,,,Teddiursa,,,,,,,,,,,,,
Wooloo,24,4,6,4,5,5,Normal,,Headbutt,Double Kick,Take Down,Medium,Light,None,,,,,,,Defense Curl,Run Away,Fluffy,,,,,Kicks,,,,,,,,Field,-,10 Days,Field,Grasslands,,,,Herbivore,Common,,,,,,,,,,,,,,,,,
Dubwool,42,8,10,6,9,9,Normal,,Counter,Double Edge,Reversal,Medium,Medium,None,,,,,,,Cotton Guard,Run Away,Fluffy,Steadfast,,,,Kicks,,,,,,,,Field,-,10 Days,Field,Grasslands,,,,Herbivore,Common,,,,Wooloo,,,,,,,,,,,,,
Yungoos,30,7,3,3,3,5,Normal,,Tackle,Pursuit,Mud-Slap,Small,Light,Stealth,,,,,,,Stakeout,Leer,,,,,,Dark,Fangs,,,,,,Super Fang,Field,-,7 Days,Forest,Grasslands,,,,Omnivore,Common,,,,,,,,,,,,,,,,,
Gumshoos,54,11,6,6,6,5,Normal,,Crunch,Hyper Fang,Thrash,Medium,Medium,Stealth,,,,,,,Scary Face,Adaptability,Stakeout,Strong Jaw,Leer,,,Dark,Fangs,Stampeding,,,,,Super Fang,Field,-,7 Days,Forest,Grasslands,,,,Omnivore,Common,,,,Yungoos,,,,,,,,,,,,,
Zigzagoon,24,3,4,3,4,6,Normal,,Tackle,Mud Sport,Pin Missile,Small,Light,Stealth,,,,,,,Growl,Tail Whip,,,,,,Normal Block,,,,,,,,Field,-,7 Days,Field,Grasslands,Woodlands,,,Omnivore,Common,,,,,,,,,,,,,,,,,
Linoone,48,7,6,5,6,10,Normal,,Headbutt,Slash,Double Edge,Medium,Medium,Stealth,Swimmer,,,,,,Growl,Rototiller,Tail Whip,Quick Feet,,,,Normal Block,,,,,,,Extreme Speed,Field,-,7 Days,Field,Grasslands,Woodlands,,,Omnivore,Common,,,,Zigzagoon,,,,,,,,,,,,,
Audino,60,6,9,6,9,5,Normal,,Refresh,Attract,Heal Pulse,Medium,Medium,None,,,,,,,Healer,Regenerator,,,,,,Elemental Attacks,Healer,,,,,,Heal Bell,Fairy,-,10 Days,Forest,Urban,,,,Herbivore,Rare,,,,,,,,,,,,,,,,,
Mega Audino,60,6,13,8,13,5,Normal,Fairy,Refresh,Attract,Heal Pulse,Medium,Medium,None,,,,,,,Healer,Regenerator,Mega Healer,,,,,Elemental Attacks,Healer,,,,,,Heal Bell,Fairy,-,10 Days,Forest,Urban,,,,Herbivore,Rare,Audino,Mega,,,,,,,,,,,,,,,
Bouffalant,60,11,10,4,10,6,Normal,,Head Charge,Megahorn,Thrash,Large,Heavy,None,,,,,,,Focus Energy,Scary Face,Swords Dance,Reckless,Sap Sipper,Soundproof,,Horned,Stampeding,,,,,,"Head Charge, High Horsepower, Skull Bash",Field,-,10 Days,Grasslands,Plains,,,,Herbivore,Rare,,,,,,,,,,,,,,,,,
Castform,42,7,7,7,7,7,Normal,,Ember,Powder Snow,Water Gun,Small,Featherweight,Flight,Guster,,,,,,Forecast,,,,,,,Electric,Fire,Ice,Water,Weather,,,"Reflect Type, Weather Ball",Fairy,Amorphous,13 Days,Urban Plants,,,,,Ergovore / Glacievore,Rare,,,,,,,,,,,,,,,,,
Castform (Sunny),42,7,7,7,7,7,Normal,,Ember,Powder Snow,Water Gun,Small,Featherweight,Flight,Guster,,,,,,Forecast,,,,,,,Electric,Fire,Ice,Water,Weather,,,,Fairy,Amorphous,13 Days,Urban Plants,,,,,Ergovore / Glacievore,Rare,,,,,,,,,,,,,,,,,
Castform (Rainy),42,7,7,7,7,7,Normal,,Ember,Powder Snow,Water Gun,Small,Featherweight,Flight,Guster,,,,,,Forecast,,,,,,,Electric,Fire,Ice,Water,Weather,,,,Fairy,Amorphous,13 Days,Urban Plants,,,,,Ergovore / Glacievore,Rare,,,,,,,,,,,,,,,,,
Castform (Snowy),42,7,7,7,7,7,Normal,,Ember,Powder Snow,Water Gun,Small,Featherweight,Flight,Guster,,,,,,Forecast,,,,,,,Electric,Fire,Ice,Water,Weather,,,,Fairy,Amorphous,13 Days,Urban Plants,,,,,Ergovore / Glacievore,Rare,,,,,,,,,,,,,,,,,
Castform (Sandy),42,7,7,7,7,7,Normal,,Ember,Powder Snow,Water Gun,Small,Featherweight,Flight,Guster,,,,,,Forecast,,,,,,,Electric,Fire,Ice,Water,Weather,,,,Fairy,Amorphous,13 Days,Urban Plants,,,,,Ergovore / Glacievore,Rare,,,,,,,,,,,,,,,,,
Chatot,48,7,5,9,4,9,Normal,Flying,Taunt,Chatter,Uproar,Small,Featherweight,Flight,,,,,,,Growl,Big Pecks,Keen Eye,Tangled Feet,,,,Flying,Avian,Sound,Winged,,,,Chatter,Flying,-,10 Days,Field,Forest,Mountains,Urban,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Ditto,30,5,5,5,5,5,Normal,,Transform,,,Small,Light,Amorphous,Inflatable,Shrinkable,,,,,Imposter,Limber,,,,,,No moves from Any,,,,,,,Transform,Ditto,-,10 Days,Variable,,,,,Variable,Rare,,,,,,,,,,,,,,,,,
Drampa,48,6,9,14,9,4,Normal,Dragon,Dragon Breath,Extrasensory,Fly,Huge,Superweight,Flight,,,,,,,Berserk,Cloud Nine,Sap Sipper,,,,,Dragon,Psychic (Attacks),Elemental Attacks,Weather,,,,Glare,Monster,Dragon,10 Days,Mountains,,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Dunsparce,60,7,7,7,7,5,Normal,,Yawn,Dig,Air Slash,Medium,Medium,Burrow,Flight,,,,,,Coil,Defense Curl,Screech,Rattled,,,,Ground,Elemental Attacks,Winged,,,,,"Glare, Horn Drill",Field,-,10 Days,Cave,,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Farfetch'd,30,9,6,6,6,6,Normal,Flying,Fury Cutter,Night Slash,Air Slash,Small,Medium,Flight,,,,,,,Agility,Swords Dance,Defiant,Inner Focus,Keen Eye,,,Flying,Avian,Blades/Claws,Winged,,,,,Flying,Field,10 Days,Forest,Grasslands,,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Furfrou,48,8,6,7,9,10,Normal,,Headbutt,Bite,Sucker Punch,Medium,Medium,Tracker,,,,,,,Cotton Guard,Tail Whip,Fur Coat,,,,,Elemental Attacks E,Fangs,,,,,,Odor Sleuth,Field,-,10 Days,Urban,,,,,Omnivore,Uncommon,,,,,,,,,,,,,,,,,
Girafarig,42,8,7,9,7,9,Normal,Psychic,Confusion,Stomp,Psychic,Medium,Medium,Telekinetic,,,,,,,Agility,Nasty Plot,Early Bird,Inner Focus,Sap Sipper,,,Dark,Psychic,Elemental Attacks E,Stampeding,,,,,Field,-,10 Days,Plains,Savanna,,,,Herbivore,Rare,,,,,,,,,,,,,,,,,
Kangaskhan,66,10,8,4,8,9,Normal,,Comet Punch,Mega Punch,Crunch,Large,Heavy,None,,,,,,,Leer,Early Bird,Scrappy,,,,,Bruiser,Elemental Attacks,Fangs,Punches,,,,Circle Throw,Monster,-,10 Days,Badlands,Jungle,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
